route_id,trip_id
1,88____:049::8892007:8893401:10:822:20230312
2,88____:049::8891009:8891702:2:42:20230128
3,88____:049::8895802:8895000:3:708:20230115
4,88____:049::8812146:8893401:5:40:20230204
5,88____:049::8892007:8891009:10:2422:20230103
6,88____:049::8895208:8892601:4:100:20230210
7,88____:049::8891009:8891660:5:654:20230212
8,88____:049::8895802:8892601:12:2530:20230316
9,88____:049::8892007:8892106:3:616:20230305
10,88____:049::8894201:8893401:3:730:20230226
1,88____:049::8892007:8893401:10:922:20230312
11,88____:049::8895208:8895505:3:2415:20221209
2,88____:049::8891009:8891702:2:159:20230128
3,88____:049::8895802:8895000:3:808:20230115
12,88____:049::8893542:8892007:6:56:20230203
5,88____:049::8892007:8891009:10:126:20230104
7,88____:049::8891009:8891660:8:838:20230212
13,88____:049::8814308:8886009:4:104:20230324
9,88____:049::8892007:8892106:3:716:20230305
10,88____:049::8894201:8893401:3:830:20230226
5,88____:049::8891009:8892007:10:2421:20230316
1,88____:049::8892007:8893401:10:1022:20230312
5,88____:049::8892007:8891009:10:131:20221210
3,88____:049::8895802:8895000:3:908:20230115
9,88____:049::8892007:8892106:3:616:20230205
5,88____:049::8892007:8891009:10:2447:20230103
7,88____:049::8891009:8891660:8:938:20230212
9,88____:049::8892007:8892106:3:816:20230305
10,88____:049::8894201:8893401:3:930:20230226
5,88____:049::8892007:8891009:10:2438:20230316
1,88____:049::8892007:8893401:10:1122:20230312
5,88____:049::8892007:8891009:10:2445:20221209
3,88____:049::8895802:8895000:3:1008:20230115
9,88____:049::8892007:8892106:3:716:20230205
5,88____:049::8892007:8891009:10:2545:20230103
7,88____:049::8891009:8891660:8:1038:20230212
9,88____:049::8892007:8892106:3:916:20230305
14,88____:049::8892601:8892908:2:957:20230307
10,88____:049::8894201:8893401:3:1030:20230226
1,88____:049::8892007:8893401:10:1222:20230312
5,88____:049::8892007:8891009:10:2549:20221209
3,88____:049::8895802:8895000:3:1108:20230115
9,88____:049::8892007:8892106:3:816:20230205
2,88____:049::8891009:8891702:2:102:20230104
7,88____:049::8891009:8891660:8:1138:20230212
9,88____:049::8892007:8892106:3:1016:20230305
14,88____:049::8892601:8892908:2:1057:20230307
10,88____:049::8894201:8893401:3:1130:20230226
1,88____:049::8892007:8893401:10:1322:20230312
5,88____:049::8892007:8891009:10:2422:20221209
3,88____:049::8895802:8895000:3:1208:20230115
9,88____:049::8892007:8892106:3:916:20230205
2,88____:049::8891009:8891702:2:221:20230104
7,88____:049::8891009:8891660:8:1238:20230212
9,88____:049::8892007:8892106:3:1116:20230305
5,88____:049::8892007:8891009:10:820:20230219
14,88____:049::8892601:8892908:2:1157:20230307
10,88____:049::8894201:8893401:3:1230:20230226
5,88____:049::8892007:8891009:10:2447:20221209
1,88____:049::8892007:8893401:10:1422:20230312
3,88____:049::8895802:8895000:3:1308:20230115
9,88____:049::8892007:8892106:3:1016:20230205
7,88____:049::8891009:8891660:8:1338:20230212
15,88____:049::8891009:8892205:4:715:20230122
15,88____:049::8892205:8896800:2:737:20230122
15,88____:049::8892205:8896800:2:737:20230121
9,88____:049::8892007:8892106:3:1216:20230305
5,88____:049::8892007:8891009:10:920:20230219
14,88____:049::8892601:8892908:2:1257:20230307
10,88____:049::8894201:8893401:3:1330:20230226
1,88____:049::8892007:8893401:10:1522:20230312
3,88____:049::8895802:8895000:3:1408:20230115
9,88____:049::8892007:8892106:3:1116:20230205
7,88____:049::8891009:8891660:8:1438:20230212
15,88____:049::8891009:8892205:4:815:20230122
15,88____:049::8892205:8896800:2:837:20230122
15,88____:049::8892205:8896800:2:837:20230121
9,88____:049::8892007:8892106:3:1316:20230305
5,88____:049::8892007:8891009:10:1020:20230219
14,88____:049::8892601:8892908:2:1357:20230307
10,88____:049::8894201:8893401:3:1430:20230226
1,88____:049::8892007:8893401:10:1622:20230312
3,88____:049::8895802:8895000:3:1508:20230115
9,88____:049::8892007:8892106:3:1216:20230205
7,88____:049::8891009:8891660:8:1538:20230212
15,88____:049::8891009:8892205:4:915:20230122
15,88____:049::8892205:8896800:2:937:20230122
15,88____:049::8892205:8896800:2:937:20230121
9,88____:049::8892007:8892106:3:1416:20230305
5,88____:049::8892007:8891009:10:1120:20230219
14,88____:049::8892601:8892908:2:1457:20230307
10,88____:049::8894201:8893401:3:1530:20230226
1,88____:049::8892007:8893401:10:1722:20230312
3,88____:049::8895802:8895000:3:1608:20230115
9,88____:049::8892007:8892106:3:1316:20230205
7,88____:049::8891009:8891660:8:1638:20230212
15,88____:049::8891009:8892205:4:1015:20230122
15,88____:049::8892205:8896800:2:1037:20230122
15,88____:049::8892205:8896800:2:1037:20230121
9,88____:049::8892007:8892106:3:1516:20230305
5,88____:049::8892007:8891009:10:1220:20230219
14,88____:049::8892908:8892601:2:925:20230307
10,88____:049::8894201:8893401:3:1630:20230226
