trans_id,translation
Ingelmunster,Ingelmunster
Izegem,Izegem
Roulers,Roeselare
Poperinge,Poperinge
Ypres,Ieper
Comines,Komen
Wervik,Wervik
Bissegem,Bissegem
Wevelgem,Wevelgem
Menin,Menen
Vichte,Vichte
Waregem,Waregem
Harelbeke,Harelbeke
Courtrai,Kortrijk
Ede,Ede
Haaltert,Haaltert
Welle,Welle
Iddergem,Iddergem
Liedekerke,Liedekerke
Denderleeuw,Denderleeuw
Okegem,Okegem
Ninove,Ninove
Eichem,Eichem
Appelterre,Appelterre
Zandbergen,Zandbergen
Idegem,Idegem
Schendelbeke,Schendelbeke
Herne,Herne
Tollembeek,Tollembeek
Gammerages,Galmaarden
Viane-Moerbeke,Viane-Moerbeke
Lierde,Lierde
Grammont,Geraardsbergen
Vijfhuizen,Vijfhuizen
Erpe-Mere,Erpe-Mere
Bambrugge,Bambrugge
Burst,Burst
Terhagen,Terhagen
Herzele,Herzele
Hillegem,Hillegem
Balegem-Dorp,Balegem-Dorp
Balegem-Zuid,Balegem-Zuid
Munkzwalm,Munkzwalm
Zottegem,Zottegem
Alost Kerrebroek,Aalst Kerrebroek
Erembodegem,Erembodegem
Lede,Lede
Alost,Aalst
Zwijndrecht,Zwijndrecht
Melsele,Melsele
Beveren,Beveren
Nieuwkerken-Waas,Nieuwkerken-Waas
Tamise,Temse
Saint-Nicolas,Sint-Niklaas
Belsele,Belsele
Sinaai,Sinaai
Zele,Zele
Lokeren,Lokeren
Beervelde,Beervelde
Waarschoot,Waarschoot
Eeklo,Eeklo
Serskamp,Serskamp
Kwatrecht,Kwatrecht
Wetteren,Wetteren
Schellebelle,Schellebelle
Wichelen,Wichelen
Schoonaarde,Schoonaarde
Oudegem,Oudegem
Sint-Gillis,Sint-Gillis
Termonde,Dendermonde
Sleidinge,Sleidinge
Evergem,Evergem
Wondelgem,Wondelgem
Gentbrugge,Gentbrugge
Gand-Dampoort,Gent-Dampoort
Scheldewindeke,Scheldewindeke
Moortsele,Moortsele
Landskouter,Landskouter
Gontrode,Gontrode
Melle,Melle
Merelbeke,Merelbeke
Renaix,Ronse
Anzegem,Anzegem
Sint-Denijs-Boekel,Sint-Denijs-Boekel
Eke-Nazareth,Eke-Nazareth
Gavere-Asper,Gavere-Asper
Zingem,Zingem
Eine,Eine
Audenarde,Oudenaarde
Dixmude,Diksmuide
Kortemark,Kortemark
La Panne,De Panne
Coxyde,Koksijde
Furnes,Veurne
Aarsele,Aarsele
Tielt,Tielt
Lichtervelde,Lichtervelde
Deinze,Deinze
De Pinte,De Pinte
Landegem,Landegem
Tronchiennes,Drongen
Gand-Saint-Pierre,Gent-Sint-Pieters
Ostende,Oostende
Knokke,Knokke
Duinbergen,Duinbergen
Heist,Heist
Lissewege,Lissewege
Zeebrugge-Dorp,Zeebrugge-Dorp
Blankenberge,Blankenberge
Torhout,Torhout
Zedelgem,Zedelgem
Zeebrugge-Strand,Zeebrugge-Strand
Hansbeke,Hansbeke
Bellem,Bellem
Aalter,Aalter
Maria-Aalter,Maria-Aalter
Beernem,Beernem
Oostkamp,Oostkamp
Bruges-Saint-Pierre,Brugge-Sint-Pieters
Bruges,Brugge
Rebaix,Rebaix
Papignies,Papegem
Houraing,Houraing
Acren,Acren
Lessines,Lessen
Leuze,Leuze
Cambron-Casteau,Cambron-Casteau
Brugelette,Brugelette
Mevergnies-Attre,Mevergnies-Attre
Maffle,Maffle
Ath,Aat
Herseaux,Herseaux
Mouscron,Moeskroen
Maubray,Maubray
Antoing,Antoing
Froyennes,Froyennes
Tournai,Doornik
Callenelle,Callenelle
Peruwelz,Peruwelz
Blaton,Blaton
Harchies,Harchies
Ville-Pommeroeul,Ville-Pommeroeul
Jemappes,Jemappes
Quaregnon,Quaregnon
Thulin,Thulin
Quievrain,Quievrain
Hainin,Hainin
Boussu,Boussu
Saint-Ghislain,Saint-Ghislain
Tubize,Tubeke
Silly,Opzullik
Enghien,Edingen
Familleureux,Familleureux
Marche-Lez-Ecaussinnes,Marche-Lez-Ecaussinnes
Ecaussinnes,Ecaussinnes
Neufvilles,Neufvilles
Soignies,Zinnik
Hennuyeres,Hennuyeres
Braine-Le-Comte,S Gravenbrakel
Manage,Manage
Binche,Binche
Leval,Leval
Carnieres,Carnieres
Morlanwelz,Morlanwelz
La Louviere-Sud,La Louviere-Zuid
La Louviere- Centre,La Louviere- Centrum
Frameries,Frameries
Genly,Genly
Quevy,Quevy
Bracquegnies,Bracquegnies
Thieu,Thieu
Havre,Havre
Obourg,Obourg
Nimy,Nimy
Lens,Lens
Masnuy-Saint-Pierre,Masnuy-Saint-Pierre
Jurbise,Jurbeke
Erbisoeul,Erbisoeul
Ghlin,Ghlin
Mons,Bergen
Couvin,Couvin
Mariembourg,Mariembourg
Jemeppe-Sur-Sambre,Jemeppe-Sur-Sambre
Auvelais,Auvelais
Tamines,Tamines
Aiseau,Aiseau
Farciennes,Farciennes
Le Campinaire,Le Campinaire
Couillet,Couillet
Chatelet,Chatelet
Ham-Sur-Heure,Ham-Sur-Heure
Cour-Sur-Heure,Cour-Sur-Heure
Berzee,Berzee
Pry,Pry
Yves-Gomezee,Yves-Gomezee
Philippeville,Philippeville
Walcourt,Walcourt
Faux,Faux
La Roche (brabant),La Roche (brabant)
Villers-La-Ville,Villers-La-Ville
Tilly,Tilly
Ligny,Ligny
Fleurus,Fleurus
Lodelinsart,Lodelinsart
Charleroi-Ouest,Charleroi-West
Charleroi-Central,Charleroi-Centraal
Marchienne-Zone,Marchienne-Zone
Landelies,Landelies
Hourpes,Hourpes
Thuin,Thuin
Lobbes,Lobbes
Fontaine Valmont,Fontaine-Valmont
Labuissiere,Labuissiere
Solre-Sur-Sambre,Solre-Sur-Sambre
Erquelinnes-Village,Erquelinnes-Village
Erquelinnes,Erquelinnes
Forchies,Forchies
Pieton,Pieton
Godarville,Godarville
Gouy-Lez-Pieton,Gouy-Lez-Pieton
Pont-A-Celles,Pont-A-Celles
Obaix-Buzet,Obaix-Buzet
Luttre,Luttre
Courcelles-Motte,Courcelles-Motte
Roux,Roux
Beignee,Beignee
Jamioulx,Jamioulx
Marchienne-Au-Pont,Marchienne-Au-Pont
Florenville,Florenville
Messancy,Messancy
Aubange,Aubange
Athus,Athus
Halanzy,Halanzy
Virton,Virton
Neufchateau,Neufchateau
Marbehan,Marbehan
Habay,Habay
Viville,Viville
Arlon,Aarlen
Gedinne,Gedinne
Graide,Graide
Carlsbourg,Carlsbourg
Paliseul,Paliseul
Bertrix,Bertrix
Poix-Saint-Hubert,Poix-Saint-Hubert
Libramont,Libramont
Naninne,Naninne
Sart-Bernard,Sart-Bernard
Courriere,Courriere
Assesse,Assesse
Natoye,Natoye
Haversin,Haversin
Chapois,Chapois
Leignon,Leignon
Ciney,Ciney
Bomal,Bomal
Barvaux,Barvaux
Melreux-Hotton,Melreux-Hotton
Marche-En-Famenne,Marche-En-Famenne
Aye,Aye
Marloie,Marloie
Grupont,Grupont
Forrieres,Forrieres
Rochefort-Jemelle,Rochefort-Jemelle
Beauraing,Beauraing
Houyet,Houyet
Gendron-Celles,Gendron-Celles
