route_id,route_short_name,route_long_name
1,BUS,Gand-Saint-Pierre -- Termonde
10,BUS,Termonde -- Lokeren
100,BUS,Bruxelles-Midi -- Braine-L Alleud
101,BUS,Maubeuge (f) -- Charleroi-Central
102,BUS,La Louviere-Sud -- Binche
103,BUS,Neerpelt -- Hamont
104,BUS,Petange -- Athus
105,BUS,Lille Flandres(f) -- Mouscron
106,IC,Anvers-Central -- Gand-Saint-Pierre
107,IC,Gand-Saint-Pierre -- Alost
108,P,Sint-Joris-Weert -- Gand-Saint-Pierre
109,IC,Bruges -- Ostende
11,BUS,Zottegem -- Grammont
110,IC,Bruges -- Knokke
111,IC,Deinze -- Poperinge
112,IC,Ostende -- Lichtervelde
113,IC,Ostende -- Courtrai
114,IC,Deinze -- Courtrai
115,IC,Bruges -- Audenarde
116,L,Gand-Saint-Pierre -- Courtrai
117,L,Audenarde -- Renaix
118,IC,Deinze -- La Panne
119,IC,Gand-Saint-Pierre -- Poperinge
12,BUS,Gand-Saint-Pierre -- Schellebelle
120,L,Anvers-Central -- Lierre
121,IC,Anvers-Central -- Herentals
122,EXTRA,Hasselt -- Landen
123,L,Anvers-Noorderdokken -- Puurs
124,L,Puurs -- Hoboken-Polder
125,IC,Anvers-Central -- Aarschot
126,IC,Anvers-Central -- Lierre
127,IC,Anvers-Central -- Mol
128,IC,Anvers-Berchem -- Mol
129,L,Essen -- Heide
13,BUS,Hal -- Ath
130,L,Anvers-Central -- Puurs
131,IC,Mol -- Neerpelt
132,IC,Anvers-Central -- Louvain
133,L,Essen -- Kapellen
134,IC,Mol -- Hamont
135,L,Anvers-Central -- Heist-Op-Den-Berg
136,IC,Saint-Nicolas -- Courtrai
137,IC,Saint-Trond -- Louvain
138,IC,Tongres -- Liege-Guillemins
139,L,Schaerbeek -- Louvain
14,BUS,Audenarde -- Renaix
140,IC,Anvers-Central -- Malines
141,IC,Schaerbeek -- Anvers-Central
142,IC,Brussels Airport - Zaventem -- Louvain
143,IC,Brussels Airport - Zaventem -- Landen
144,IC,Jette -- Termonde
145,IC,Liege-Saint-Lambert -- Huy
146,L,Libramont -- Bertrix
147,IC,Bruxelles-Midi -- Ciney
148,L,Ottignies -- Wavre
149,IC,Dinant -- Yvoir
15,BUS,Bruges -- Roulers
150,IC,Liers -- Namur
151,L,Mons -- Quevy
152,IC,La Louviere-Sud -- Binche
153,IC,Mons -- Mouscron
154,IC,Tournai -- Ath
155,L,Wavre -- Fleurus
156,IC,Binche -- Braine-Le-Comte
157,IC,Nivelles -- Charleroi-Central
158,IC,Tournai -- Mouscron
159,IC,Mons -- Tournai
16,BUS,Gand-Saint-Pierre -- Grammont
160,IC,Luttre -- Charleroi-Central
161,IC,Mons -- Soignies
162,IC,La Louviere-Sud -- Braine-Le-Comte
163,IC,Mons -- Braine-Le-Comte
164,IC,Nivelles -- Luttre
165,IC,Liers -- Tamines
166,IC,Namur -- Tamines
167,IC,Charleroi-Central -- Mouscron
168,IC,Tamines -- Mons
169,L,Wavre -- Chatelet
17,BUS,Gand-Saint-Pierre -- Audenarde
170,IC,Tamines -- Mouscron
171,IC,Bruxelles-Midi -- Enghien
172,L,Bruxelles-Midi -- Nivelles
173,IC,Mons -- La Louviere-Sud
174,S34,Anvers-Central -- Saint-Nicolas
175,S34,Anvers-Berchem -- Saint-Nicolas
176,IC,Genk -- Bruges
177,IC,Saint-Trond -- Bruges
178,IC,Genk -- Blankenberge
179,IC,Saint-Trond -- Blankenberge
18,BUS,Audenarde -- Burst
180,IC,Hasselt -- Blankenberge
181,IC,Bruges -- Blankenberge
182,IC,Hasselt -- Bruges
183,S6,Schaerbeek -- Grammont
184,S6,Schaerbeek -- Denderleeuw
185,S6,Enghien -- Denderleeuw
186,S6,Grammont -- Denderleeuw
