route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
1,000001,88____:049::8892007:8893401:10:822:20230312,Termonde,11000,,1,,1
2,000002,88____:049::8891009:8891702:2:42:20230128,Ostende,11000,,2,,1
3,000003,88____:049::8895802:8895000:3:708:20230115,Alost,11000,,3,,1
4,000004,88____:049::8812146:8893401:5:40:20230204,Termonde,11000,,4,,1
5,000005,88____:049::8892007:8891009:10:2422:20230103,Bruges,11000,,5,,1
6,000006,88____:049::8895208:8892601:4:100:20230210,Audenarde,11000,,6,,1
7,000007,88____:049::8891009:8891660:5:654:20230212,Knokke,11000,,7,,1
8,000008,88____:049::8895802:8892601:12:2530:20230316,Audenarde,11000,,8,,1
9,000009,88____:049::8892007:8892106:3:616:20230305,Deinze,11000,,9,,1
10,000010,88____:049::8894201:8893401:3:730:20230226,Termonde,11000,,10,,1
1,000001,88____:049::8892007:8893401:10:922:20230312,Termonde,11001,,11,,1
11,000011,88____:049::8895208:8895505:3:2415:20221209,Grammont,11001,,12,,1
2,000002,88____:049::8891009:8891702:2:159:20230128,Ostende,11001,,13,,1
3,000003,88____:049::8895802:8895000:3:808:20230115,Alost,11001,,14,,1
12,000012,88____:049::8893542:8892007:6:56:20230203,Gand-Saint-Pierre,11001,,15,,1
5,000013,88____:049::8892007:8891009:10:126:20230104,Bruges,11001,,16,,1
7,000007,88____:049::8891009:8891660:8:838:20230212,Knokke,11001,,17,,1
13,000014,88____:049::8814308:8886009:4:104:20230324,Ath,11001,,18,,1
9,000009,88____:049::8892007:8892106:3:716:20230305,Deinze,11001,,19,,1
10,000010,88____:049::8894201:8893401:3:830:20230226,Termonde,11001,,20,,1
5,000015,88____:049::8891009:8892007:10:2421:20230316,Gand-Saint-Pierre,11001,,21,,1
1,000001,88____:049::8892007:8893401:10:1022:20230312,Termonde,11002,,22,,1
5,000016,88____:049::8892007:8891009:10:131:20221210,Bruges,11002,,23,,1
3,000003,88____:049::8895802:8895000:3:908:20230115,Alost,11002,,24,,1
9,000017,88____:049::8892007:8892106:3:616:20230205,Deinze,11002,,25,,1
5,000005,88____:049::8892007:8891009:10:2447:20230103,Bruges,11002,,26,,1
7,000007,88____:049::8891009:8891660:8:938:20230212,Knokke,11002,,27,,1
9,000009,88____:049::8892007:8892106:3:816:20230305,Deinze,11002,,28,,1
10,000010,88____:049::8894201:8893401:3:930:20230226,Termonde,11002,,29,,1
5,000015,88____:049::8892007:8891009:10:2438:20230316,Bruges,11002,,30,,1
1,000001,88____:049::8892007:8893401:10:1122:20230312,Termonde,11003,,31,,1
5,000011,88____:049::8892007:8891009:10:2445:20221209,Bruges,11003,,32,,1
3,000003,88____:049::8895802:8895000:3:1008:20230115,Alost,11003,,33,,1
9,000017,88____:049::8892007:8892106:3:716:20230205,Deinze,11003,,34,,1
5,000005,88____:049::8892007:8891009:10:2545:20230103,Bruges,11003,,35,,1
7,000007,88____:049::8891009:8891660:8:1038:20230212,Knokke,11003,,36,,1
9,000009,88____:049::8892007:8892106:3:916:20230305,Deinze,11003,,37,,1
14,000018,88____:049::8892601:8892908:2:957:20230307,Renaix,11003,,38,,1
10,000010,88____:049::8894201:8893401:3:1030:20230226,Termonde,11003,,39,,1
1,000001,88____:049::8892007:8893401:10:1222:20230312,Termonde,11004,,40,,1
5,000011,88____:049::8892007:8891009:10:2549:20221209,Bruges,11004,,41,,1
3,000003,88____:049::8895802:8895000:3:1108:20230115,Alost,11004,,42,,1
9,000017,88____:049::8892007:8892106:3:816:20230205,Deinze,11004,,43,,1
2,000013,88____:049::8891009:8891702:2:102:20230104,Ostende,11004,,44,,1
7,000007,88____:049::8891009:8891660:8:1138:20230212,Knokke,11004,,45,,1
9,000009,88____:049::8892007:8892106:3:1016:20230305,Deinze,11004,,46,,1
14,000018,88____:049::8892601:8892908:2:1057:20230307,Renaix,11004,,47,,1
10,000010,88____:049::8894201:8893401:3:1130:20230226,Termonde,11004,,48,,1
1,000001,88____:049::8892007:8893401:10:1322:20230312,Termonde,11005,,49,,1
5,000011,88____:049::8892007:8891009:10:2422:20221209,Bruges,11005,,50,,1
3,000003,88____:049::8895802:8895000:3:1208:20230115,Alost,11005,,51,,1
9,000017,88____:049::8892007:8892106:3:916:20230205,Deinze,11005,,52,,1
2,000013,88____:049::8891009:8891702:2:221:20230104,Ostende,11005,,53,,1
7,000007,88____:049::8891009:8891660:8:1238:20230212,Knokke,11005,,54,,1
9,000009,88____:049::8892007:8892106:3:1116:20230305,Deinze,11005,,55,,1
5,000019,88____:049::8892007:8891009:10:820:20230219,Bruges,11005,,56,,1
14,000018,88____:049::8892601:8892908:2:1157:20230307,Renaix,11005,,57,,1
10,000010,88____:049::8894201:8893401:3:1230:20230226,Termonde,11005,,58,,1
5,000011,88____:049::8892007:8891009:10:2447:20221209,Bruges,11006,,59,,1
